      	         grab_single	11/11/2015 09:58:50:880000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:880000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:880000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:880000	Image (timestamp img_nr 36695229) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:50:880000	Leaving grab_single
      	                main	11/11/2015 09:58:50:880000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:50:890000	Image inverted
      	         grab_single	11/11/2015 09:58:50:890000	Entering grab_single
      	         grab_single	11/11/2015 09:58:50:890000	Start aquire
      	         grab_single	11/11/2015 09:58:50:890000	Started capturing frames
      	         grab_single	11/11/2015 09:58:50:890000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:50:890000	Image retrived
      	         grab_single	11/11/2015 09:58:50:890000	Checking DMA length
      	         grab_single	11/11/2015 09:58:50:890000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:50:890000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:50:890000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:50:890000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:50:890000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:50:890000	Getting actual image size
      	         grab_single	11/11/2015 09:58:50:890000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:50:890000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:890000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:890000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:900000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:900000	Image (timestamp img_nr 125323318) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:50:900000	Leaving grab_single
      	                main	11/11/2015 09:58:50:900000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:50:900000	Image inverted
      	         grab_single	11/11/2015 09:58:50:900000	Entering grab_single
      	         grab_single	11/11/2015 09:58:50:900000	Start aquire
      	         grab_single	11/11/2015 09:58:50:900000	Started capturing frames
      	         grab_single	11/11/2015 09:58:50:900000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:50:900000	Image retrived
      	         grab_single	11/11/2015 09:58:50:900000	Checking DMA length
      	         grab_single	11/11/2015 09:58:50:900000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:50:900000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:50:900000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:50:900000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:50:900000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:50:900000	Getting actual image size
      	         grab_single	11/11/2015 09:58:50:900000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:50:900000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:900000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:900000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:900000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:900000	Image (timestamp img_nr 46301333) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:50:900000	Leaving grab_single
